N,mean_mean_cost,median_mean_cost,mean_peak_error,median_peak_error,mean_tail_rms_error,median_tail_rms_error,mean_tail_growth_ratio,median_tail_growth_ratio,mean_max_abs_u,median_max_abs_u,mean_mean_step_ms,median_mean_step_ms,mean_median_step_ms,median_median_step_ms,mean_p95_step_ms,median_p95_step_ms,mean_max_step_ms,median_max_step_ms,mean_utilization_pct,median_utilization_pct,failure_count,late_escalation_count,failed_plants,failure_reasons,failure_cases,failure_details,late_escalation_plants,num_runs
11,783116475.6265769,0.21984034542148523,45305.471413194355,2.0,18291.792581627797,5.382931113305219e-07,0.7094636258574906,0.2102909258229058,24564.058557448432,1.4736266212469944,0.006567066802689305,0.006549784447194721,0.006574065205541639,0.006570982673267327,0.006623596813243072,0.006622869430693069,0.0066283218136572696,0.006628144801980198,0.006623596813243072,0.006622869430693069,1,1,unstable__rhp_zero,"late_escalation,max_abs_u,peak_error",N=11:unstable__rhp_zero,unstable__rhp_zero (peak_error=4.077e+05>10; max_abs_u=2.211e+05>50; tail_rms=1.646e+05>0.2 and tail_g=4.386>1.2),unstable__rhp_zero,9
12,2399725.5067054387,0.2198393096501232,2211.4263508624063,2.0,1014.922983060882,5.626688093149937e-07,0.512286417137804,0.14311559266286966,1.8377830691245027,1.4737155594171016,0.006701404397706338,0.006699154187293729,0.006703842593973253,0.006705470915841584,0.0067687558304173785,0.006765689727722772,0.006799449144763874,0.006785117574257426,0.0067687558304173785,0.006765689727722773,1,1,unstable__rhp_zero,"late_escalation,peak_error",N=12:unstable__rhp_zero,unstable__rhp_zero (peak_error=1.989e+04>10; tail_rms=9134>0.2 and tail_g=3.005>1.2),unstable__rhp_zero,9
13,1924.7240030717464,0.21984304132917584,50.53742674513816,2.0,28.0988490808429,3.6909052139264336e-07,0.3681665802741839,0.1647345279617288,16.338074102705853,1.4737787652272527,0.006782538206594254,0.00675291760109746,0.006779251754542925,0.006775448638613861,0.006854720868208809,0.00683251869259215,0.00687132341411852,0.00684186245973995,0.006854720868208809,0.0068325186925921495,1,1,unstable__rhp_zero,"late_escalation,max_abs_u,peak_error",N=13:unstable__rhp_zero,unstable__rhp_zero (peak_error=437.7>10; max_abs_u=133.3>50; tail_rms=252.9>0.2 and tail_g=1.893>1.2),unstable__rhp_zero,9
14,1.58601451747229,0.2198441753962869,2.5409996854860446,2.0,0.5407157576728466,3.7044899490302986e-07,0.2735538840129401,0.16139717664592643,1.7331170239296552,1.5209304053098631,0.006898072517932014,0.00690813201320132,0.006900593964140389,0.006915068688118812,0.006962339421713256,0.0069605743193069305,0.006976069141251475,0.006963439356435643,0.006962339421713256,0.0069605743193069305,0,0,,,,,,9
15,0.28216215473820994,0.2198428277611514,2.1793167042846644,2.0,0.011510550288829411,3.68359868027995e-07,0.21723225606542262,0.14271102363030558,1.6768734933849636,1.4738529647316994,0.006854235388335521,0.006839775061881188,0.0068578131560897045,0.0068622103960396036,0.006931293306559571,0.006906149628712871,0.0069633545369597195,0.006916201732673268,0.006931293306559571,0.006906149628712871,0,0,,,,,,9
16,0.2517077415632755,0.21984070517535256,2.208500698276414,2.0,0.0003781196066922764,3.1223015953522295e-07,0.18580175355912745,0.14264698036153167,1.6918462928046945,1.4738735959768547,0.007035650650732744,0.007020205961221122,0.007036524252124008,0.007028697400990099,0.007113005762820259,0.007073313737623763,0.007144582662332499,0.007073483910891089,0.007113005762820259,0.007073313737623763,0,0,,,,,,9
17,0.24481323253989265,0.21983892045678155,2.2298206191955687,2.0,2.2404099975500352e-05,1.346441811797467e-07,0.16858727622227562,0.14260187429571994,1.6990056534055553,1.4738876200605178,0.007325291867276588,0.007251371080858086,0.007333641499164977,0.007288727103960396,0.007421570330745424,0.007372127722772277,0.007445531010179331,0.007398617574257426,0.007421570330745424,0.007372127722772277,0,0,,,,,,9
18,0.24246890850335015,0.21983778675325727,2.244747234072242,2.0,2.5887663073385e-06,7.837229251483464e-08,0.15900716243824947,0.14257039603988475,1.7034526987131893,1.4738971295630188,0.007582014814759588,0.007597798164191419,0.007585351925855236,0.007598004331683168,0.007665156590884992,0.007673153836633664,0.007687679467043089,0.0077060136138613865,0.007665156590884992,0.007673153836633664,0,0,,,,,,9
19,0.24157043790622815,0.21983719296110127,2.2548763605243334,2.0,6.138977636444669e-07,5.562505611010164e-08,0.15351047586945485,0.14254807904591046,1.7061470628231217,1.4739035683690314,0.007626643283944358,0.00763655961221122,0.007629793568664094,0.007630028465346534,0.007717033595686375,0.007726696163366337,0.0077419717649475795,0.0077427289603960395,0.007717033595686375,0.007726696163366337,0,0,,,,,,9
20,0.24121056614193284,0.21983692785796197,2.261604761813222,2.0,2.8140839602963534e-07,4.4861253279544906e-08,0.15025659147382062,0.12653717857416438,1.7077402199291298,1.4739079242156394,0.007789190563132619,0.007765216584158415,0.007801471508144791,0.007795379331683169,0.007863539719687332,0.007837780445544555,0.007876500528516708,0.007849113861386139,0.007863539719687332,0.007837780445544555,0,0,,,,,,9
21,0.24106387225299056,0.21983682550945405,2.2660121800690605,2.0,1.9621206263712463e-07,3.9232518636192064e-08,0.148281844677228,0.12653315018119007,1.7088493758941767,1.4739108693963006,0.008230970736908028,0.00818258849009901,0.008200525476493433,0.008227789932005248,0.008606125117466563,0.008489122400990099,0.00885280843340358,0.00852454702970297,0.008606125117466563,0.008489122400990099,0,0,,,,,,9
22,0.24100364084568351,0.21983679093924252,2.2688735833190727,2.0,1.665822676621523e-07,3.609853403683575e-08,0.14706436678993887,0.12653038682998255,1.7124958446925371,1.4739128601366962,0.008405435227847584,0.008386744533828382,0.008394437055979694,0.008381858292079207,0.008603313531601655,0.008578720606435645,0.00864737440852519,0.008595142326732674,0.008603313531601655,0.008578720606435645,0,0,,,,,,9
23,0.24097883420037805,0.21983678038042462,2.270720846089981,2.0,1.5392263544927916e-07,3.428400575050533e-08,0.14630827610238945,0.12652848738261852,1.7148174302673307,1.4739142054867358,0.008492864386313128,0.008515328485973597,0.008484792408081171,0.008493786509900991,0.008723821844722124,0.008757944183168316,0.008767966088777553,0.008782126237623762,0.008723821844722124,0.008757944183168316,0,0,,,,,,9
24,0.24096860402400722,0.21983677715529248,2.271909216839374,2.0,1.4774632601209494e-07,3.3207606600321435e-08,0.1458379158149987,0.12652717956863085,1.7162917434899712,1.4739151145764047,0.0086807994825838,0.00866579001650165,0.008673160063521415,0.008637195544554456,0.008952166739896883,0.00892744214108911,0.00904226622330908,0.00899695792079208,0.008952166739896883,0.00892744214108911,0,0,,,,,,9
25,0.24096438287453564,0.21983677599356827,2.2726720585131384,2.0,1.44463762828278e-07,3.255940334771782e-08,0.14554564510061893,0.12652629446698127,1.7172289761460482,1.4739157288312363,0.008851217340069849,0.008877363655115511,0.008858793573634473,0.008878352558749851,0.008978297773519823,0.008981004641089108,0.009009861894773815,0.008999638613861384,0.008978297773519823,0.008981004641089108,0,0,,,,,,9
26,0.24096264080804394,0.21983677535636395,2.2731611033502386,2.0,1.4261439441259603e-07,3.2165412670629134e-08,0.14536395840449012,0.12652568173903417,1.7178271933828864,1.473916143854732,0.008953680514411881,0.008931595606435644,0.008974715278606176,0.008970554455445545,0.009087841718524262,0.00906051547029703,0.009133521853088923,0.009061519801980198,0.009087841718524262,0.00906051547029703,0,0,,,,,,9
27,0.24096192177877274,0.21983677527795265,2.2734743827917376,2.0,1.4152578742680943e-07,3.1924558360199584e-08,0.14525097241328125,0.12652525400584425,1.7182113885248997,1.4739164242599707,0.008930792610900146,0.008897878609735973,0.008925673152179677,0.008921436262376237,0.009125427349082801,0.009034023678873912,0.009154665182180867,0.009044914603960397,0.009125427349082801,0.009034023678873912,0,0,,,,,,9
28,0.24096162494758644,0.21983677520829423,2.273674984595846,2.0,1.4086122546884097e-07,3.1776796324751236e-08,0.14518003065017654,0.12652496292877602,1.71845990261172,1.4739166137093374,0.009154339962158867,0.009156692759900989,0.009180162276995772,0.00917754764851485,0.009278848657087096,0.00927716349009901,0.009313025179927633,0.009288366336633665,0.009278848657087096,0.00927716349009901,0,0,,,,,,9
29,0.24096150236608505,0.21983677519789258,2.273803410626795,2.0,1.404424456349596e-07,3.168594748390095e-08,0.14513513056941388,0.12652476413098782,1.7186217481963921,1.4739167417053216,0.011744057819147878,0.011837948741749175,0.011734190865773325,0.011872086633663365,0.012227611678810953,0.012254767574257426,0.012320729266902593,0.012380826732673267,0.012227611678810953,0.012254767574257426,0,0,,,,,,9
30,0.240961451718681,0.21983677520241535,2.273885624814439,2.0,1.4017132552079493e-07,3.163001521175652e-08,0.1451063804301221,0.1265246266819978,1.7187276944763992,1.4739168281816473,0.012575604265660002,0.012638140882838286,0.01258397916998025,0.012621725247524751,0.012865518392215728,0.012878111881188118,0.012929359180948216,0.012891243811881187,0.012865518392215728,0.012878111881188118,0,0,,,,,,9
31,0.24096143078158402,0.2198367752054311,2.273938257249288,2.0,1.3999210753101106e-07,3.159555113055722e-08,0.14508839395287051,0.12652453518706172,1.7187972211270215,1.4739168866063772,0.011975214046366986,0.011963056208745873,0.011910785157958565,0.011871828589108912,0.012362765322511168,0.012372238366336632,0.012486333835341364,0.012546977722772277,0.012362765322511167,0.012372238366336632,0,0,,,,,,9
32,0.240961422123331,0.21983677520464126,2.273971954624007,2.0,1.3987203152062693e-07,3.157430431260252e-08,0.14507603763699387,0.12652446997091674,1.7188428134756106,1.4739169260789444,0.013261331437548875,0.013228865820957093,0.013105814307560273,0.013086787747524753,0.014151360390240833,0.014086723452970297,0.014815297750407571,0.014440233910891088,0.014151360390240833,0.014086723452970297,0,0,,,,,,9
33,0.2409614185427546,0.219836775202037,2.273993531480647,2.0,1.3979115154428826e-07,3.1561201592000236e-08,0.1450684099572682,0.1265244248986389,1.7188725884827172,1.4739169527471334,0.013526711022030916,0.013339998143564355,0.013406268123649714,0.013330883663366336,0.014223026543136242,0.013565302475247525,0.014500792384057683,0.013617574257425743,0.014223026543136242,0.013565302475247525,0,0,,,,,,9
34,0.24096141706256885,0.21983677519946818,2.274007349232771,2.0,1.3973676572471906e-07,3.155311965288931e-08,0.1450630804391995,0.12652439464754978,1.718891894889206,1.4739169707645032,0.013929075238660917,0.013860784550330033,0.013850309898007875,0.013803862623762375,0.014355783527757897,0.01414262301980198,0.01445031395217835,0.014150164603960397,0.014355783527757897,0.01414262301980198,0,0,,,,,,9
35,0.24096141645106073,0.2198367751976834,2.274016199319594,2.0,1.3970051491013354e-07,3.15481343446031e-08,0.1450590731857811,0.1265243725351334,1.7189042935707286,1.4739169829372631,0.014323581775120282,0.01427604558829377,0.014307296441541745,0.014257606435643565,0.014631318904081671,0.014484269245049504,0.014721603985247923,0.01454584405940594,0.014631318904081671,0.014484269245049504,0,0,,,,,,9
