scenario,plant_id,controller,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,mean_step_ms,median_step_ms,p95_step_ms,max_step_ms,utilization_pct,benchmark_samples,late_escalation,failure,failure_reason,failure_detail,rank_mean_cost,rank_peak_error,rank_tail_rms_error,rank_tail_growth_ratio,rank_max_abs_u,rank_failure,composite_rank
disturbed,stable__rhp_zero,32_32 (rich11),0.4303622264260657,2.627070191707208,0.05862944725775965,0.8159045552743083,1.4092275533678038,0.007048611386138613,0.006948643564356436,0.007346819801980198,0.007475247524752475,0.007346819801980198,12,False,False,,,5.0,7.0,5.0,2.0,5.0,5.5,4.916666666666667
disturbed,stable__rhp_zero,32_32 (compact6),0.42945385286868243,2.6124997628839415,0.05931511106613443,0.9495723399678018,1.456787267084037,0.0068008481848184825,0.006740514851485148,0.00700769900990099,0.007011554455445545,0.00700769900990099,12,False,False,,,4.0,5.0,6.0,9.0,8.0,5.5,6.25
disturbed,stable__rhp_zero,16_16_16 (rich11),0.42879086467200606,2.6156510665124353,0.07993249461928684,0.8304629431286634,1.4483782590795915,0.007706510726072607,0.007667905940594059,0.008632301980198018,0.009396039603960396,0.008632301980198018,12,False,False,,,3.0,6.0,9.0,3.0,6.0,5.5,5.416666666666667
disturbed,stable__rhp_zero,16_16_16 (compact6),0.43218948439404187,2.5767344914405146,0.0533009314144437,0.8688197847184698,1.4084847901172666,0.006905217821782178,0.007047643564356436,0.0076862435643564354,0.007709158415841584,0.0076862435643564354,12,False,False,,,8.0,3.0,2.0,5.0,4.0,5.5,4.583333333333333
disturbed,stable__rhp_zero,32_32_32 (rich11),0.42778958875337436,2.6717824776445727,0.07908928636110141,0.9270580932800707,1.4734541988944105,0.008703176567656765,0.008667698019801981,0.008904333168316831,0.008931108910891088,0.008904333168316831,12,False,False,,,2.0,9.0,8.0,7.0,9.0,5.5,6.75
disturbed,stable__rhp_zero,32_32_32 (compact6),0.430413335944872,2.595909183819352,0.0650095309996628,0.932299256252938,1.4548923162545706,0.008910273102310231,0.008658831683168316,0.010553196534653465,0.010859742574257425,0.010553196534653465,12,False,False,,,7.0,4.0,7.0,8.0,7.0,5.5,6.416666666666667
hidden_pole,stable__rhp_zero,MPC,0.47763212753695394,2.766608582440559,2.9078850528428875e-09,0.028549259622429313,1.6461318985570543,0.019794005775577557,0.019534237623762378,0.02087209306930693,0.021260316831683168,0.02087209306930693,12,False,False,,,1.0,10.0,1.0,1.0,10.0,5.5,4.75
hidden_pole,stable__rhp_zero,RL (PID-features),0.48009284475773434,2.630623374369725,0.00011016546445668036,0.3578212845589494,1.4338501045642522,0.0020843300330033,0.001941420792079208,0.002768774257425742,0.003056930693069307,0.0027687742574257425,12,False,False,,,4.0,4.0,2.0,2.0,6.0,5.5,3.9166666666666665
hidden_pole,stable__rhp_zero,16_16 (rich11),0.484397405998729,2.6465942821469435,0.04068899842880197,0.9390112835753761,1.313842838798332,0.006283931518151815,0.006495252475247525,0.006556726237623762,0.006595297029702971,0.006556726237623762,12,False,False,,,9.0,5.0,10.0,8.0,2.0,5.5,6.583333333333333
hidden_pole,stable__rhp_zero,16_16 (compact6),0.488819019796615,2.5843007293031457,0.026216591614181835,0.9062911295514037,1.2624915315097245,0.005756257425742574,0.005988653465346535,0.006286324257425742,0.006288366336633663,0.006286324257425742,12,False,False,,,10.0,1.0,7.0,4.0,1.0,5.5,4.75
hidden_pole,stable__rhp_zero,32_32 (rich11),0.48184544887075786,2.6535375887945345,0.01962410159038067,0.9343651335038834,1.3839244065947112,0.007061573432343235,0.006906559405940594,0.00777648514851485,0.008587871287128714,0.00777648514851485,12,False,False,,,6.0,6.0,6.0,7.0,3.0,5.5,5.583333333333333
hidden_pole,stable__rhp_zero,32_32 (compact6),0.4801268272957615,2.668693792995586,0.029454059005613625,0.9442659109448731,1.4304928411181146,0.007290842409240925,0.00700990099009901,0.008807860396039605,0.009113039603960397,0.008807860396039605,12,False,False,,,5.0,7.0,8.0,9.0,5.0,5.5,6.583333333333333
hidden_pole,stable__rhp_zero,16_16_16 (rich11),0.48002080978840755,2.6709772674104793,0.004231677232741401,0.9023404337132791,1.4520816430775716,0.0072248003300330035,0.007449049504950496,0.008490117821782177,0.009222772277227722,0.008490117821782177,12,False,False,,,3.0,8.0,4.0,3.0,8.0,5.5,5.25
