scenario,controller,mean_mean_cost,median_mean_cost,mean_peak_error,median_peak_error,mean_tail_rms_error,median_tail_rms_error,mean_tail_growth_ratio,median_tail_growth_ratio,mean_max_abs_u,median_max_abs_u,mean_composite_rank,median_composite_rank,mean_mean_step_ms,median_mean_step_ms,mean_median_step_ms,median_median_step_ms,mean_p95_step_ms,median_p95_step_ms,mean_max_step_ms,median_max_step_ms,mean_utilization_pct,median_utilization_pct,failure_count,late_escalation_count,failed_plants,failure_reasons,failure_cases,failure_details,late_escalation_plants,num_runs
disturbed,16_16 (compact6),12.207961460024935,0.23249802124520624,6.733790956757101,2.0,2.327078386509173,0.054606515270191565,1.0362493975337814,0.8221121439309926,1.6386782134266678,1.368042574720145,5.7407407407407405,6.333333333333333,0.006071507059039238,0.006166701320132012,0.006109759625962597,0.006262792079207921,0.006657880913091309,0.006804924752475248,0.006941324532453245,0.00688819801980198,0.00665788091309131,0.006804924752475249,1,1,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero,unstable__rhp_zero (peak_error=43.54>10; tail_rms=20.26>0.2 and tail_g=2.829>1.2),unstable__rhp_zero,9
disturbed,16_16 (rich11),0.4599434578283993,0.23145340542866918,2.4022232389947438,2.0,0.34302672034839643,0.045870132689219245,0.9767224217114348,0.8329916786452136,1.6294155998398923,1.342130058897059,5.592592592592593,5.666666666666667,0.006352596718005134,0.006226897689768977,0.006307228822882288,0.006386752475247525,0.007501267821782178,0.0066892702970297035,0.008267601760176019,0.006740099009900991,0.007501267821782178,0.0066892702970297035,2,2,"integrator__rhp_zero,unstable__rhp_zero",late_escalation,disturbed:integrator__rhp_zero; disturbed:unstable__rhp_zero,integrator__rhp_zero (tail_rms=0.2934>0.2 and tail_g=1.211>1.2); unstable__rhp_zero (tail_rms=2.503>0.2 and tail_g=1.898>1.2),"integrator__rhp_zero,unstable__rhp_zero",9
disturbed,16_16_16 (compact6),346.61217487372596,0.2274947567208234,28.3576169004877,2.0,12.224009274322178,0.03106529083644034,1.099837411405135,0.8688197847184698,1.5709243135778086,1.4084847901172666,5.148148148148149,4.833333333333333,0.0074000508800880094,0.007638509075907591,0.007393953245324533,0.007643148514851485,0.008042163531353135,0.007979166336633663,0.008169829482948294,0.008177386138613862,0.008042163531353135,0.007979166336633663,1,1,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero,unstable__rhp_zero (peak_error=238.1>10; tail_rms=109.7>0.2 and tail_g=2.974>1.2),unstable__rhp_zero,9
disturbed,16_16_16 (rich11),186.77007473633043,0.22602869820447077,21.272940296068075,2.0,9.002572680322364,0.04158719740012054,1.0743459403425322,0.8304629431286634,1.6335094741770915,1.4483782590795915,5.388888888888888,5.0,0.007569970938760543,0.007508559405940594,0.007728180968096809,0.007667905940594059,0.00828265682068207,0.008305380693069306,0.008528740374037403,0.008511960396039603,0.00828265682068207,0.008305380693069306,1,1,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero,unstable__rhp_zero (peak_error=174.3>10; tail_rms=80.46>0.2 and tail_g=2.951>1.2),unstable__rhp_zero,9
disturbed,32_32 (compact6),0.40154517095279174,0.22596500994522986,2.218006499784922,2.0,0.26525394248209166,0.04201411714616571,0.9874225861582393,0.888064083414634,1.675656157380731,1.456787267084037,5.462962962962963,5.333333333333333,0.006856439402273561,0.006885451320132013,0.006768311881188118,0.006759282178217822,0.007320481298129813,0.007185437623762376,0.007659514851485148,0.0076006633663366335,0.007320481298129813,0.007185437623762376,1,1,unstable__rhp_zero,late_escalation,disturbed:unstable__rhp_zero,unstable__rhp_zero (tail_rms=1.842>0.2 and tail_g=1.492>1.2),unstable__rhp_zero,9
disturbed,32_32 (rich11),0.295265586514564,0.22579932222766466,2.2130880197616594,2.0,0.14169560297617034,0.03362620016148833,0.9521169635986245,0.8314271846858171,1.6622290554235168,1.4092275533678038,4.962962962962963,4.916666666666667,0.00704512770443711,0.007048611386138613,0.0069758899889989,0.006957920792079208,0.007442407590759075,0.00732549504950495,0.007752979097909791,0.007646455445544554,0.007442407590759075,0.00732549504950495,0,0,,,,,,9
disturbed,32_32_32 (compact6),398.48443944274663,0.2274117087286568,30.341507142700053,2.0,13.15792060740323,0.05802512498814683,1.109984579269055,0.7987653651426512,1.6561178808873818,1.4250151685072598,6.12962962962963,6.333333333333333,0.008574662266226624,0.008554421617161717,0.008468645764576456,0.008462663366336633,0.009150214301430142,0.009025823267326732,0.009400760176017604,0.009196366336633665,0.009150214301430142,0.009025823267326732,1,1,unstable__rhp_zero,"late_escalation,peak_error",disturbed:unstable__rhp_zero,unstable__rhp_zero (peak_error=255.9>10; tail_rms=117.6>0.2 and tail_g=2.994>1.2),unstable__rhp_zero,9
disturbed,32_32_32 (rich11),0.26339236953256234,0.22610924345987374,2.220619867724702,2.0,0.09730379559973865,0.03491402674573238,0.9296088873423083,0.8453057398277246,1.6237132231632345,1.4009850020664762,5.166666666666667,5.333333333333333,0.008654871287128711,0.00866938201320132,0.008559017051705172,0.008564772277227722,0.009137202530253024,0.009153384653465347,0.009442151815181517,0.00961839603960396,0.009137202530253024,0.009153384653465347,0,0,,,,,,9
disturbed,MPC,0.25678731728844195,0.22209544374354678,2.2772217633672907,2.0,0.12492914363555142,0.05296106337104347,1.0215470000281437,1.0196209036826247,1.7552347886304966,1.4801390192067105,5.703703703703704,5.666666666666667,0.019974792445911257,0.01986640594059406,0.019753917491749175,0.019662336633663367,0.021116234653465345,0.021164375247524753,0.021577190319031905,0.021300742574257427,0.021116234653465345,0.02116437524752475,0,0,,,,,,9
disturbed,RL (PID-features),0.8791565165656076,0.24540045145087597,2.5930728668448952,2.0,0.06673499430299167,0.030693019814908806,0.7594470198308699,0.6864172781653248,2.36165313742079,1.4641312156996034,5.703703703703703,5.666666666666667,0.002195736065273194,0.002195990099009901,0.002199281078107811,0.00219760396039604,0.002399273707370737,0.0023781559405940595,0.0025273190319031903,0.0024047029702970297,0.002399273707370737,0.0023781559405940595,0,0,,,,,,9
