scenario,plant_id,controller,variant_id,mean_cost,peak_error,tail_rms_error,tail_growth_ratio,max_abs_u,late_escalation,failure,failure_reason,failure_detail,rank_mean_cost,rank_peak_error,rank_tail_rms_error,rank_tail_growth_ratio,rank_max_abs_u,rank_failure,composite_rank
hidden_pole,integrator__rhp_zero,16_16_16 (compact6),mlp_compact6_max,0.2711089358562517,2.4132624561352025,0.13600476835383166,0.9359545905597599,0.8854075378996453,False,False,,,8.0,1.0,8.0,7.0,1.0,4.5,4.916666666666667
nominal,integrator__rhp_zero,32_32_32 (rich11),mlp_rich_xl,0.22231037812568413,2.630935917743736,0.011201934816147592,0.7826091038003996,1.008552102120896,False,False,,,2.0,7.0,3.0,5.0,4.0,4.5,4.25
disturbed,integrator__rhp_zero,32_32_32 (rich11),mlp_rich_xl,0.2472945417282916,2.641468636293215,0.16804817015541984,0.9953193103164849,1.0086820847627371,False,False,,,2.0,6.0,5.0,7.0,3.0,4.5,4.583333333333333
hidden_pole,integrator__rhp_zero,32_32_32 (rich11),mlp_rich_xl,0.24543452783236122,2.6047136614018065,0.012187028182903955,0.7843791239996164,1.0515406847989786,False,False,,,2.0,8.0,3.0,4.0,7.0,4.5,4.75
nominal,integrator__rhp_zero,32_32_32 (compact6),mlp_compact6_xl,0.2294390779670738,2.554248314497523,0.031250403197627834,0.700159969084057,1.0456031613779524,False,False,,,6.0,4.0,6.0,1.0,7.0,4.5,4.75
disturbed,integrator__rhp_zero,32_32_32 (compact6),mlp_compact6_xl,0.315632453122826,2.567388354772712,0.13554718428233875,0.7645869760410704,1.0355476205532919,False,False,,,7.0,4.0,4.0,3.0,6.0,4.5,4.75
hidden_pole,integrator__rhp_zero,32_32_32 (compact6),mlp_compact6_xl,0.25752651845166,2.546578644964349,0.025310436553874792,0.6938699973413803,1.0491146580104325,False,False,,,7.0,4.0,5.0,1.0,6.0,4.5,4.583333333333333
nominal,unstable__no_zero,16_16 (rich11),mlp_rich_default,0.11438314057947524,2.0,0.00042033545279848526,0.4936448609941433,2.1613519208256498,False,False,,,8.0,4.5,5.0,5.0,6.0,4.5,5.5
disturbed,unstable__no_zero,16_16 (rich11),mlp_rich_default,0.11780250933583677,2.0,0.011524392204615829,2.0623992815045087,2.234660186535784,False,False,,,7.0,4.5,1.0,5.0,7.0,4.5,4.833333333333333
hidden_pole,unstable__no_zero,16_16 (rich11),mlp_rich_default,0.1484017707754801,2.0,0.011453823651895075,0.5524272801473671,2.493440923557586,False,False,,,7.0,4.0,6.0,4.0,4.0,4.0,4.833333333333333
