use_terminal_cost,N,cases_total,cases_passed,cases_survived,pass_fraction,survival_fraction,max_final_abs_x_m,max_final_abs_theta_deg
False,20,18,0,18,0.0,1.0,1.5653865876505428,0.01182266585979606
False,30,18,0,18,0.0,1.0,1.4224172140797973,0.018894890867781778
False,40,18,0,18,0.0,1.0,1.4173879088427344,0.01986773707833293
False,60,18,0,18,0.0,1.0,1.4171827813143232,0.019909573062803117
True,20,18,0,18,0.0,1.0,1.1329014532559118,0.3145839261405269
True,30,18,0,18,0.0,1.0,1.422603922760946,0.019695105421449317
True,40,18,0,18,0.0,1.0,1.4174172596189905,0.019874759997795848
True,60,18,0,18,0.0,1.0,1.4171827955825236,0.01990958442372866
