variant_id,display_name,kind,hidden_layers,pass_nominal,failure_reason,failure_time_s,steps_completed,max_abs_theta_deg,max_abs_x_m,max_abs_u_n,final_state_norm
history8_32_32_32,history8 32_32_32,history8,"(32, 32, 32)",True,--,nan,401,5.539820262114184,0.21424888881396306,5.422759212498813,0.0009322604684450701
history8_32_32,history8 32_32,history8,"(32, 32)",True,--,nan,401,5.144737995514445,0.16287074847087635,5.072688680038245,0.005662727147998518
history8_16_16,history8 16_16,history8,"(16, 16)",True,--,nan,401,5.143921620113638,0.14625582819219476,5.245916248286025,0.006178458640048161
state6_32_32,state6 32_32,state6,"(32, 32)",True,--,nan,401,5.1172581731755304,0.15527184432222496,4.973241424957932,0.006318865674929484
state6_16_16,state6 16_16,state6,"(16, 16)",True,--,nan,401,5.19359740804238,0.19859857429948521,5.293141292997223,0.021023364381389464
state6_32_32_32,state6 32_32_32,state6,"(32, 32, 32)",True,--,nan,401,5.109290020927059,0.18902657098108697,4.841944506120085,0.03577048337704871
mpc,MPC,mpc,(),True,--,nan,401,5.543813792693269,0.41065449031415524,5.198156152465935,0.08183323497207744
pidfeat,PID-features,pidfeat,(),False,angle_limit,0.16,9,23.30045043217841,0.08057760650340531,7.7987170677670665,5.2130149647318245
