mode,N,cases_total,cases_passed,cases_survived,pass_fraction,survival_fraction,max_final_abs_x_m,max_final_abs_theta_deg
fixed,20,18,0,18,0.0,1.0,1.5653865876505428,0.01182266585979606
fixed,30,18,0,18,0.0,1.0,1.4224172140797973,0.018894890867781778
fixed,40,18,0,18,0.0,1.0,1.4173879088427344,0.01986773707833293
fixed,60,18,0,18,0.0,1.0,1.4171827813143232,0.019909573062803117
successive,20,18,0,18,0.0,1.0,1.9815840455686848,0.053312024413501774
successive,30,18,0,18,0.0,1.0,1.6123977859888434,0.017759116474286303
successive,40,18,0,18,0.0,1.0,1.589450776258071,0.022160658858731842
successive,60,18,0,18,0.0,1.0,1.58771286683024,0.022514638442290624
